,State,year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown
45,Georgia,2016,Q2,108000,111000,11000,10,17500,59.3,28.4,2.0,28.4,11.7,2.7
46,Georgia,2016,Q3,102000,103000,13000,13,12500,30.7,16.4,2.4,12.1,7.6,4.5
47,Georgia,2016,Q4,96000,112000,11000,10,12000,43.6,8.6,3.7,7.6,4.1,2.5
48,Georgia,2017,Q1,123000,125000,14000,11,36000,35.3,7.0,0.2,2.6,4.4,1.8
49,Georgia,2017,Q2,125000,142000,10500,7,21000,33.0,5.6,1.0,6.7,6.3,2.8
50,Hawaii,2016,Q1,15000,15000,280,2,570,0.3,1.5,-,0.1,0.8,(Z)
51,Hawaii,2016,Q2,13500,13500,830,6,870,35.6,38.1,(Z),0.6,3.2,-
52,Hawaii,2016,Q3,13500,13500,600,4,430,67.8,75.3,0.1,0.8,-,-
53,Hawaii,2016,Q4,13500,13500,970,7,60,39.9,40.8,-,0.1,0.2,0.1
54,Hawaii,2017,Q1,13000,13000,190,1,510,1.2,2.1,0.2,-,0.1,0.1
55,Hawaii,2017,Q2,12000,12000,60,1,520,89.5,3.5,(Z),-,0.4,-
56,Idaho,2016,Q1,91000,98000,8500,9,5500,31.5,2.3,2.1,5.9,5.4,1.4
57,Idaho,2016,Q2,60000,80000,6000,8,19000,21.2,4.8,2.7,3.1,5.4,2.7
58,Idaho,2016,Q3,79000,131000,13000,10,1900,25.3,4.7,4.5,7.6,6.0,3.3
59,Idaho,2016,Q4,121000,143000,15500,11,5000,31.9,0.8,4.8,0.2,4.2,3.0
60,Idaho,2017,Q1,95000,99000,8500,9,2000,74.2,42.3,42.3,21.2,1.7,0.4
61,Idaho,2017,Q2,61000,78000,9500,12,24000,31.2,7.4,3.9,8.2,7.7,4.7
62,Illinois,2016,Q1,8500,9500,1400,15,860,12.4,6.4,0.3,2.6,4.6,8.6
63,Illinois,2016,Q2,9000,9000,740,8,2200,11.4,4.4,2.0,3.1,4.7,2.1
64,Illinois,2016,Q3,11000,11000,1300,12,850,17.4,7.9,0.7,4.3,2.9,1.6
65,Illinois,2016,Q4,9000,9000,720,8,-,27.8,11.7,1.2,5.6,3.9,4.8
66,Illinois,2017,Q1,11000,11000,2900,26,3100,24.3,11.8,0.6,4.2,10.2,7.9
67,Illinois,2017,Q2,12000,12500,1200,10,3600,11.0,4.2,0.7,2.9,5.5,1.4
68,Indiana,2016,Q1,6500,6500,770,12,30,17.4,3.7,0.9,0.3,7.2,5.5
69,Indiana,2016,Q2,4300,7000,220,3,2700,12.5,2.9,(Z),2.1,2.8,4.3
70,Indiana,2016,Q3,9500,9500,600,6,450,50.4,12.4,1.2,0.6,2.5,1.2
71,Indiana,2016,Q4,7500,7500,1200,16,20,28.2,9.6,0.2,1.4,1.0,3.8
72,Indiana,2017,Q1,7000,7500,1900,25,1700,15.8,8.0,5.2,4.1,10.4,7.1
73,Indiana,2017,Q2,7500,11000,1200,11,3000,5.9,2.3,0.1,32.1,8.6,1.3
74,Iowa,2016,Q1,13000,13000,2900,22,90,52.8,14.4,13.8,2.7,24.0,4.8
75,Iowa,2016,Q2,10500,26000,2400,9,26000,23.5,17.8,18.7,0.6,6.0,5.7
76,Iowa,2016,Q3,50000,50000,5500,11,10500,32.6,3.4,0.8,16.7,2.4,5.6
77,Iowa,2016,Q4,54000,54000,4700,9,-,18.7,9.8,8.9,9.0,11.4,6.3
78,Iowa,2017,Q1,10000,15500,3000,19,70,33.6,8.3,8.4,12.0,11.9,11.7
79,Iowa,2017,Q2,12500,23000,2000,9,24000,39.4,27.7,7.6,26.7,8.2,0.9
80,Kansas,2016,Q1,5000,5000,1100,22,1400,30.3,10.0,0.1,1.1,2.4,5.4
81,Kansas,2016,Q2,4700,6000,960,16,3000,47.3,11.6,2.8,8.3,3.7,1.8
82,Kansas,2016,Q3,8000,8000,2600,33,310,42.8,25.5,14.1,29.1,4.5,2.6
83,Kansas,2016,Q4,5000,5000,1300,26,200,29.2,8.3,0.3,3.1,5.1,1.4
84,Kansas,2017,Q1,3800,3800,1000,26,930,47.1,2.9,-,3.6,16.4,14.3
85,Kansas,2017,Q2,4400,4900,380,8,2500,19.7,9.6,0.7,22.2,1.8,7.8
86,Kentucky,2016,Q1,6500,6500,1300,20,390,23.6,9.0,0.7,6.3,12.5,8.4
87,Kentucky,2016,Q2,5500,6000,450,8,2100,38.9,36.1,1.7,28.4,16.0,3.8
88,Kentucky,2016,Q3,7500,7500,1000,13,900,42.3,25.7,0.9,11.5,7.4,4.5
89,Kentucky,2016,Q4,7500,7500,950,13,60,48.2,22.3,3.3,3.0,10.3,5.7
90,Kentucky,2017,Q1,6500,7000,1300,19,950,31.9,11.5,0.4,3.8,16.0,7.5
91,Kentucky,2017,Q2,6500,7000,560,8,2900,28.5,12.9,1.1,5.0,4.8,2.1
92,Louisiana,2016,Q1,54000,55000,11000,20,9500,22.8,14.2,18.6,0.4,12.4,1.9
93,Louisiana,2016,Q2,52000,53000,4300,8,10000,20.7,1.1,-,0.3,1.2,0.6
94,Louisiana,2016,Q3,51000,60000,7000,12,2600,39.5,26.1,(Z),1.6,9.6,0.7
95,Louisiana,2016,Q4,48000,57000,2000,4,250,2.9,1.0,1.0,0.1,0.7,1.2
96,Louisiana,2017,Q1,44000,47000,2700,6,11000,20.5,8.5,0.1,2.2,5.2,2.3
97,Louisiana,2017,Q2,56000,56000,2600,5,4600,26.2,3.5,-,2.1,1.6,0.7
98,Maine,2016,Q1,2200,3700,170,5,-,3.3,0.4,0.3,-,0.8,1.4
99,Maine,2016,Q2,3600,25000,4200,17,510,82.7,-,4.3,31.1,2.4,27.9
100,Maine,2016,Q3,5500,5500,420,8,240,9.3,0.1,0.2,-,0.6,-
101,Maine,2016,Q4,3500,3500,280,8,-,10.7,0.8,0.1,-,5.8,0.1
102,Maine,2017,Q1,2700,3100,1000,32,100,23.9,20.9,30.5,8.1,26.3,-
103,Maine,2017,Q2,2200,40000,910,2,790,3.6,3.6,3.4,3.6,1.6,14.2
104,Maryland,2016,Q1,7500,7500,820,11,1200,26.2,0.1,-,9.5,6.7,0.7
105,Maryland,2016,Q2,8000,9000,320,4,2800,4.2,2.3,2.4,2.9,3.3,0.6
106,Maryland,2016,Q3,7000,7000,200,3,400,10.8,4.8,0.1,0.7,0.6,1.6
107,Maryland,2016,Q4,7500,9500,500,5,20,23.8,8.3,4.5,4.6,5.8,0.6
108,Maryland,2017,Q1,9000,9000,2100,23,770,11.3,3.3,1.0,1.0,11.9,4.3
109,Maryland,2017,Q2,8000,9500,190,2,3200,3.3,6.9,0.7,0.2,2.0,1.0
110,Massachusetts,2016,Q1,3000,3000,370,12,1200,10.1,5.2,0.7,-,3.1,1.1
111,Massachusetts,2016,Q2,4200,8500,300,4,1100,40.5,10.6,0.3,10.6,2.3,11.9
112,Massachusetts,2016,Q3,9500,9500,530,6,450,14.1,8.7,6.8,0.1,3.4,7.9
113,Massachusetts,2016,Q4,8000,8000,740,9,-,6.1,2.6,0.4,0.4,0.7,4.2
114,Massachusetts,2017,Q1,3300,3300,1500,45,120,32.0,5.6,2.9,4.5,10.5,5.2
115,Massachusetts,2017,Q2,1900,8000,130,2,1900,13.8,11.4,11.8,9.9,0.4,1.6
116,Michigan,2016,Q1,25000,42000,5000,12,2300,5.9,0.2,(Z),0.5,1.3,11.3
117,Michigan,2016,Q2,40000,103000,7500,7,13500,54.1,9.3,1.1,16.5,11.8,1.1
118,Michigan,2016,Q3,108000,108000,15000,14,11000,64.1,25.1,0.3,9.1,6.5,2.7
119,Michigan,2016,Q4,101000,101000,12500,12,10,23.9,1.5,0.1,2.7,4.0,0.6
120,Michigan,2017,Q1,29000,59000,5000,8,600,7.9,0.3,(Z),1.9,1.1,3.9
121,Michigan,2017,Q2,55000,79000,4600,6,22000,24.4,9.8,0.2,1.7,1.0,0.6
122,Minnesota,2016,Q1,36000,38000,5500,14,6000,12.1,7.0,0.2,11.6,8.0,14.5
123,Minnesota,2016,Q2,27000,126000,13000,10,24000,20.8,6.0,6.5,18.2,8.6,7.6
124,Minnesota,2016,Q3,132000,138000,26000,19,1300,47.2,14.6,6.2,22.4,17.8,8.9
125,Minnesota,2016,Q4,113000,114000,13500,12,-,27.5,7.7,3.1,17.6,5.0,8.9
126,Minnesota,2017,Q1,27000,41000,3500,9,3300,2.1,0.4,0.1,1.0,8.8,5.8
127,Minnesota,2017,Q2,34000,128000,5000,4,18500,21.4,4.7,2.4,13.3,6.6,2.2
128,Mississippi,2016,Q1,21000,50000,7500,15,48000,13.8,1.6,(Z),3.2,0.3,14.5
129,Mississippi,2016,Q2,85000,90000,3700,4,9000,12.3,2.3,1.2,2.7,1.2,0.1
130,Mississippi,2016,Q3,19000,20000,3300,17,750,27.5,3.5,1.6,1.8,5.0,4.7
131,Mississippi,2016,Q4,17500,30000,2400,8,330,21.9,6.0,0.1,-,2.1,2.8
132,Mississippi,2017,Q1,31000,68000,2600,4,23000,41.7,35.3,(Z),0.1,0.5,1.4
133,Mississippi,2017,Q2,89000,89000,3800,4,5500,14.4,0.6,-,1.3,2.9,0.5
134,Missouri,2016,Q1,10000,10000,1300,13,5500,20.2,7.0,0.4,6.2,4.5,7.3
135,Missouri,2016,Q2,12000,12500,770,6,1800,17.2,1.6,0.7,0.1,1.6,1.2
136,Missouri,2016,Q3,13500,13500,650,5,480,13.3,7.7,1.0,0.1,3.1,0.7
137,Missouri,2016,Q4,9000,9000,590,7,1400,16.1,12.6,0.2,(Z),1.5,0.7
138,Missouri,2017,Q1,6500,7500,1200,16,400,16.2,15.2,0.5,2.6,5.4,5.3
139,Missouri,2017,Q2,7000,7500,260,3,1700,13.8,8.7,3.0,1.0,5.1,1.8
140,Montana,2016,Q1,16500,65000,900,1,24000,0.6,(Z),-,0.5,0.1,-
141,Montana,2016,Q2,62000,157000,7000,4,25000,30.3,7.1,4.5,3.9,6.9,0.2
142,Montana,2016,Q3,147000,158000,11500,7,4100,41.9,8.8,7.0,6.9,6.1,1.4
143,Montana,2016,Q4,124000,124000,16000,13,2700,59.1,39.4,32.9,13.7,33.3,33.1
144,Montana,2017,Q1,18500,46000,470,1,3100,34.0,13.6,(Z),2.3,5.6,0.1
145,Montana,2017,Q2,46000,134000,3800,3,15000,24.3,3.8,4.2,3.3,4.4,0.6
146,Nebraska,2016,Q1,11000,20000,720,4,510,1.8,0.4,0.1,0.2,0.8,0.6
147,Nebraska,2016,Q2,19500,43000,6000,14,8000,6.1,0.1,1.0,3.8,1.1,3.5
148,Nebraska,2016,Q3,45000,47000,8500,18,390,20.4,1.6,0.1,10.2,1.6,0.1
149,Nebraska,2016,Q4,37000,37000,4300,12,190,10.5,1.4,0.2,1.2,0.4,1.5
150,Nebraska,2017,Q1,7500,13000,750,6,120,14.9,0.3,0.4,-,2.2,1.2
151,Nebraska,2017,Q2,8500,63000,640,1,6000,73.8,67.2,0.7,66.6,8.9,0.5
152,New Jersey,2016,Q1,6000,6000,1000,17,80,8.0,1.1,0.2,0.6,1.7,12.0
153,New Jersey,2016,Q2,4200,18000,1500,8,1900,11.9,0.9,0.2,(Z),0.2,0.3
154,New Jersey,2016,Q3,18000,18000,270,2,120,20.2,7.1,1.2,8.5,1.3,0.3
155,New Jersey,2016,Q4,12000,12000,340,3,400,28.6,11.3,0.4,1.9,3.4,8.6
156,New Jersey,2017,Q1,6000,6500,490,8,10,16.3,0.7,0.3,0.1,0.8,0.6
157,New Jersey,2017,Q2,6000,21000,430,2,1600,24.1,5.4,2.3,1.9,0.3,0.7
158,New Mexico,2016,Q1,6000,6500,1700,26,1400,69.0,0.4,31.5,-,1.5,0.3
159,New Mexico,2016,Q2,6500,6500,1400,22,2700,59.1,0.3,12.1,2.5,8.2,-
160,New Mexico,2016,Q3,6500,6500,1100,17,2000,59.5,55.4,55.2,24.1,1.7,0.7
161,New Mexico,2016,Q4,7000,7000,1600,23,1100,46.2,0.3,7.2,-,0.8,0.3
162,New Mexico,2017,Q1,5500,5500,2100,38,3600,93.9,-,87.4,-,2.0,-
163,New Mexico,2017,Q2,7000,7500,1700,23,2300,88.4,0.6,72.9,-,35.6,0.6
164,New York,2016,Q1,31000,33000,4200,13,970,27.5,5.9,1.5,7.6,9.5,2.6
165,New York,2016,Q2,31000,46000,4000,9,13500,20.4,3.1,0.9,11.7,4.1,3.8
166,New York,2016,Q3,56000,56000,10000,18,1900,37.4,9.0,5.5,5.2,24.7,2.6
167,New York,2016,Q4,48000,49000,9000,18,240,27.8,2.2,3.6,12.5,2.2,2.1
168,New York,2017,Q1,32000,33000,6000,18,520,20.4,9.4,9.8,4.4,13.2,10.9
169,New York,2017,Q2,25000,41000,1300,3,16000,21.7,2.2,2.2,2.1,9.1,0.1
170,North Carolina,2016,Q1,18500,24000,2600,11,1100,9.5,2.5,1.9,2.7,4.0,2.4
171,North Carolina,2016,Q2,23000,24000,1600,7,10000,51.8,23.5,4.7,33.8,8.3,41.7
172,North Carolina,2016,Q3,25000,25000,1400,6,1400,27.8,13.4,0.1,2.9,13.4,3.0
173,North Carolina,2016,Q4,25000,25000,5500,22,220,24.0,7.7,1.8,-,12.5,1.3
174,North Carolina,2017,Q1,16000,23000,2500,11,3700,34.7,17.4,0.2,1.5,7.2,3.9
175,North Carolina,2017,Q2,24000,25000,1600,6,3900,23.4,5.5,2.3,0.8,5.1,1.5
176,North Dakota,2016,Q1,89000,137000,8500,6,4600,2.7,-,-,-,0.1,11.7
177,North Dakota,2016,Q2,110000,530000,27000,5,23000,16.2,3.7,2.1,1.1,3.6,0.2
178,North Dakota,2016,Q3,510000,550000,71000,13,25000,38.0,11.8,6.3,12.9,9.9,3.1
179,North Dakota,2016,Q4,385000,390000,44000,11,13500,23.5,7.9,1.5,0.4,2.6,2.2
180,North Dakota,2017,Q1,50000,123000,640,1,1100,0.8,-,-,-,0.2,0.1
181,North Dakota,2017,Q2,112000,385000,10500,3,19500,27.9,3.6,2.8,5.4,3.0,0.4
182,Ohio,2016,Q1,16500,16500,2900,18,760,41.6,4.3,0.2,1.3,10.2,5.3
183,Ohio,2016,Q2,14000,16500,1700,10,6000,10.6,2.2,0.6,18.3,2.9,1.4
184,Ohio,2016,Q3,21000,21000,1600,8,980,60.6,10.6,2.3,2.9,3.6,3.2
185,Ohio,2016,Q4,19500,19500,2100,11,20,42.0,18.1,0.8,4.2,11.2,10.9
186,Ohio,2017,Q1,15500,17500,4400,25,1300,25.8,11.6,0.6,0.1,5.2,16.5
187,Ohio,2017,Q2,13500,14500,1100,8,8000,45.6,6.4,6.2,10.5,16.8,3.0
188,Oklahoma,2016,Q1,13500,13500,3300,24,4800,4.9,1.2,(Z),0.3,0.9,21.0
189,Oklahoma,2016,Q2,12000,13000,310,2,4000,51.8,2.8,0.2,1.2,0.6,0.4
190,Oklahoma,2016,Q3,3700,3700,560,15,30,7.5,6.5,0.3,0.7,1.4,21.8
191,Oklahoma,2016,Q4,3100,44000,2700,6,120,4.9,0.5,(Z),0.1,0.1,0.7
192,Oklahoma,2017,Q1,26000,26000,550,2,9500,11.9,1.0,(Z),0.1,0.5,0.3
193,Oklahoma,2017,Q2,25000,25000,200,1,6500,23.0,1.6,11.1,0.3,7.6,0.2
194,Oregon,2016,Q1,68000,92000,2900,3,3800,20.4,15.0,5.3,(Z),2.4,0.3
195,Oregon,2016,Q2,77000,132000,4300,3,19000,52.7,14.5,9.9,2.6,16.7,6.0
196,Oregon,2016,Q3,107000,112000,7500,7,2900,52.9,18.5,12.5,9.6,5.1,1.5
197,Oregon,2016,Q4,98000,124000,9500,8,1500,25.5,2.8,13.0,2.8,2.6,1.3
198,Oregon,2017,Q1,71000,90000,8000,9,7500,28.7,8.5,10.1,9.1,15.4,8.5
199,Oregon,2017,Q2,84000,108000,5000,5,18000,32.7,9.0,10.2,3.6,14.8,9.6
212,Pennsylvania,2016,Q1,12500,12500,2900,23,480,44.8,4.3,0.3,3.8,5.5,4.6
213,Pennsylvania,2016,Q2,11000,14000,1300,9,6500,18.7,3.9,2.4,3.6,4.6,0.9
214,Pennsylvania,2016,Q3,19000,22000,1300,6,680,27.3,7.7,1.6,4.3,2.8,1.2
215,Pennsylvania,2016,Q4,21000,21000,3100,15,120,18.7,2.6,1.0,2.8,4.9,3.1
216,Pennsylvania,2017,Q1,17000,18000,4200,23,810,21.0,2.4,0.8,2.9,3.6,7.3
217,Pennsylvania,2017,Q2,15000,16500,510,3,7000,13.9,1.0,0.8,1.4,2.4,1.6
218,South Carolina,2016,Q1,16500,16500,3500,21,3200,10.7,2.3,0.6,2.0,5.1,4.8
219,South Carolina,2016,Q2,12500,13500,1300,10,2200,51.3,36.6,1.0,35.8,14.3,1.3
220,South Carolina,2016,Q3,13000,13500,920,7,990,20.4,18.8,0.1,2.6,2.6,1.9
221,South Carolina,2016,Q4,12000,17000,1300,8,760,29.0,27.1,23.3,24.6,25.9,1.9
222,South Carolina,2017,Q1,17000,17500,1600,9,4700,12.6,5.3,0.4,1.1,2.7,1.8
223,South Carolina,2017,Q2,20000,20000,870,4,1900,23.9,21.3,14.7,17.9,4.1,0.3
224,South Dakota,2016,Q1,47000,79000,10500,13,1600,0.2,(Z),(Z),-,0.5,0.3
225,South Dakota,2016,Q2,51000,182000,11000,6,15000,32.4,6.6,1.7,5.1,15.4,0.1
226,South Dakota,2016,Q3,178000,191000,25000,13,4200,48.8,19.5,14.2,22.7,4.6,2.8
227,South Dakota,2016,Q4,146000,146000,11000,8,-,48.9,5.3,0.3,6.0,1.0,0.3
228,South Dakota,2017,Q1,21000,48000,2700,6,1500,2.9,-,-,(Z),0.2,0.3
229,South Dakota,2017,Q2,34000,152000,6000,4,10000,20.9,1.4,1.3,9.7,6.2,3.6
235,Tennessee,2016,Q1,9000,9000,1700,19,180,19.7,7.1,0.2,3.7,10.1,10.9
236,Tennessee,2016,Q2,8000,8000,580,7,3900,40.9,22.7,0.1,0.4,9.1,2.6
237,Tennessee,2016,Q3,10000,10000,950,10,340,22.5,23.1,1.3,2.4,6.2,2.0
238,Tennessee,2016,Q4,9000,9000,840,9,120,19.9,21.6,-,1.1,2.2,3.1
239,Tennessee,2017,Q1,8500,8500,1600,19,1500,28.6,12.6,0.9,2.4,8.1,7.0
240,Tennessee,2017,Q2,8500,9000,1100,12,2600,47.4,24.9,1.0,3.1,10.4,3.9
241,Texas,2016,Q1,240000,320000,30000,9,126000,19.4,9.8,2.3,9.4,3.7,2.5
242,Texas,2016,Q2,340000,350000,36000,10,74000,26.1,9.0,7.5,2.4,7.4,3.7
243,Texas,2016,Q3,129000,143000,12000,8,12500,47.2,11.4,1.7,31.4,3.7,4.1
244,Texas,2016,Q4,136000,310000,39000,13,2200,33.1,17.5,3.2,3.6,2.8,1.4
245,Texas,2017,Q1,270000,330000,35000,11,148000,36.2,22.5,2.0,5.1,3.5,3.6
246,Texas,2017,Q2,345000,345000,18000,5,43000,28.8,16.6,1.5,12.5,2.9,1.1
253,Utah,2016,Q1,12000,14500,1900,13,1400,26.2,7.0,0.1,0.4,1.6,0.5
254,Utah,2016,Q2,14500,25000,4800,19,12000,23.0,0.1,1.8,7.3,3.4,0.8
255,Utah,2016,Q3,27000,33000,3200,10,1200,32.1,20.2,0.6,21.8,2.5,1.7
256,Utah,2016,Q4,30000,30000,1600,5,440,26.4,0.1,0.2,0.9,0.7,0.3
257,Utah,2017,Q1,16000,18500,2700,15,2900,38.7,(Z),0.1,-,2.0,0.3
258,Utah,2017,Q2,19000,35000,2300,7,14500,32.2,1.1,0.2,0.1,10.9,(Z)
259,Vermont,2016,Q1,5500,5500,410,7,-,1.3,-,0.3,-,0.5,1.7
260,Vermont,2016,Q2,5000,6500,20,(Z),480,2.6,0.1,0.1,-,0.3,0.1
261,Vermont,2016,Q3,6500,6500,400,6,170,5.6,8.0,1.7,-,2.4,0.8
262,Vermont,2016,Q4,6500,6500,260,4,20,44.5,41.3,41.2,41.0,0.4,-
263,Vermont,2017,Q1,6500,6500,440,7,-,6.0,0.7,2.1,0.2,0.9,2.1
264,Vermont,2017,Q2,6000,8000,170,2,390,3.3,0.3,0.3,-,0.2,0.5
265,Virginia,2016,Q1,6500,6500,1100,17,560,32.7,7.3,-,0.4,5.0,3.8
266,Virginia,2016,Q2,6000,6500,230,4,2200,23.1,4.2,6.8,6.0,7.3,2.9
267,Virginia,2016,Q3,8000,8000,810,10,460,39.1,24.1,1.1,2.3,5.3,3.6
268,Virginia,2016,Q4,7000,7000,730,10,230,31.4,19.9,2.0,-,1.8,5.1
269,Virginia,2017,Q1,8000,8000,1400,18,1900,21.4,12.8,2.8,3.2,7.4,8.4
270,Virginia,2017,Q2,8500,9000,1000,11,3100,19.8,19.1,1.0,5.3,1.9,4.8
271,Washington,2016,Q1,77000,146000,13500,9,5500,23.3,10.5,1.3,1.7,1.9,5.1
272,Washington,2016,Q2,91000,143000,6000,4,21000,40.9,11.4,3.3,3.1,11.1,0.6
273,Washington,2016,Q3,57000,74000,5000,7,7500,65.2,1.4,0.9,19.1,4.3,0.1
274,Washington,2016,Q4,65000,97000,9000,9,3100,21.4,4.6,3.7,9.1,4.5,0.3
275,Washington,2017,Q1,68000,104000,9000,9,8500,6.8,0.1,(Z),(Z),8.1,4.4
276,Washington,2017,Q2,89000,132000,6500,5,36000,19.5,4.7,3.6,6.7,3.1,0.4
277,West Virginia,2016,Q1,6500,8000,1700,21,-,21.9,2.9,1.1,0.6,6.9,6.5
278,West Virginia,2016,Q2,7000,7000,990,14,2600,20.1,0.8,4.2,-,14.7,0.7
279,West Virginia,2016,Q3,7500,7500,190,3,130,41.5,7.1,3.6,0.1,8.1,0.4
280,West Virginia,2016,Q4,7500,7500,1000,13,80,23.8,2.3,1.1,1.1,4.3,2.8
281,West Virginia,2017,Q1,5500,8000,800,10,450,15.8,1.0,0.2,-,11.9,1.3
282,West Virginia,2017,Q2,7500,7500,340,5,3400,11.5,1.5,1.7,0.4,3.6,1.6
283,Wisconsin,2016,Q1,20000,21000,3100,15,530,24.2,1.6,1.1,13.4,10.8,10.4
284,Wisconsin,2016,Q2,18500,78000,5500,7,17500,23.4,3.7,12.8,12.6,14.9,10.5
285,Wisconsin,2016,Q3,71000,75000,12000,16,880,31.5,13.6,10.8,15.8,5.1,11.1
286,Wisconsin,2016,Q4,59000,59000,7500,13,10,69.3,12.2,10.0,10.6,10.6,46.2
287,Wisconsin,2017,Q1,17000,22000,4400,20,450,19.0,1.9,1.1,2.0,4.0,10.5
288,Wisconsin,2017,Q2,18000,65000,2900,4,13000,13.7,1.6,1.7,2.1,2.5,0.3
289,Wyoming,2016,Q1,2700,6500,340,5,440,(Z),0.4,0.2,2.5,0.8,1.3
290,Wyoming,2016,Q2,6500,27000,2600,10,7500,7.1,2.6,1.2,0.6,2.5,0.8
291,Wyoming,2016,Q3,32000,40000,7000,18,1800,38.6,3.1,0.5,2.6,3.4,0.3
292,Wyoming,2016,Q4,25000,27000,2200,8,50,32.2,1.6,3.1,5.2,1.1,-
293,Wyoming,2017,Q1,6500,17000,3600,21,1300,0.2,-,0.2,-,0.6,(Z)
294,Wyoming,2017,Q2,15000,30000,1100,4,4800,37.8,3.3,11.6,2.6,7.4,2.1
2,Alabama,2017,Q1,7000,7000,1600,23,570,19.9,9.8,0.2,3.2,6.7,9.3
3,Alabama,2017,Q2,6500,6500,440,7,1200,17.9,13.6,-,4.2,9.4,5.3
4,Alabama,2017,Q3,7000,9500,900,9,690,69.5,22.1,-,35.4,7.5,3.9
5,Alabama,2017,Q4,7500,7500,990,13,550,22.3,10.1,8.8,9.5,1.7,5.2
6,Alabama,2018,Q1,7500,7500,820,11,1200,29.2,30.2,1.9,14.9,8.6,4.5
7,Alabama,2018,Q2,7500,8500,810,10,1300,23.6,25.5,1.2,13.1,11.5,2.1
8,Arizona,2017,Q1,31000,32000,6000,19,2900,35.6,2.0,3.8,1.7,6.5,2.1
9,Arizona,2017,Q2,22000,22000,2600,12,12500,58.4,15.9,19.7,12.4,20.4,0.7
10,Arizona,2017,Q3,26000,26000,4100,16,5000,19.8,0.4,0.5,1.1,12.4,6.3
11,Arizona,2017,Q4,27000,30000,6500,22,1300,61.6,4.2,2.3,1.6,4.1,0.1
12,Arizona,2018,Q1,25000,26000,6000,23,810,36.3,4.3,4.6,15.3,7.9,4.2
13,Arizona,2018,Q2,18500,19500,2600,13,12000,48.8,7.3,33.2,0.8,14.5,3.7
14,Arkansas,2017,Q1,18000,20000,3500,18,430,31.5,14.6,0.1,0.5,3.0,1.0
15,Arkansas,2017,Q2,17000,24000,1900,8,6000,19.4,9.6,1.9,3.9,2.7,2.5
16,Arkansas,2017,Q3,29000,29000,6000,21,4400,61.4,9.1,-,17.0,9.3,2.3
17,Arkansas,2017,Q4,25000,25000,7500,30,2500,37.5,29.2,26.6,31.0,24.1,0.4
18,Arkansas,2018,Q1,22000,22000,7500,34,540,21.1,9.6,1.0,23.0,4.6,13.9
19,Arkansas,2018,Q2,11500,11500,1500,13,14000,35.5,16.0,0.9,2.8,11.4,16.6
20,California,2017,Q1,1170000,1470000,195000,13,137000,37.7,12.6,7.5,9.2,6.6,6.3
21,California,2017,Q2,980000,990000,90000,9,160000,38.0,7.7,3.1,13.0,4.8,3.4
22,California,2017,Q3,590000,670000,67000,10,73000,42.3,15.8,5.6,13.4,10.1,3.6
23,California,2017,Q4,680000,1200000,155000,13,90000,47.9,14.1,7.4,17.0,17.1,6.3
24,California,2018,Q1,1150000,1540000,220000,14,200000,41.4,11.3,4.8,11.5,8.0,4.9
25,California,2018,Q2,1140000,1190000,70000,6,176000,41.9,10.2,11.2,13.8,9.1,5.1
26,Colorado,2017,Q1,9500,21000,1100,5,100,17.0,(Z),(Z),0.9,2.6,0.4
27,Colorado,2017,Q2,16500,31000,4500,15,8000,31.3,0.8,5.3,3.2,4.6,0.1
28,Colorado,2017,Q3,35000,42000,4300,10,2900,52.9,1.4,2.6,9.1,7.8,1.4
29,Colorado,2017,Q4,34000,34000,7000,21,1500,30.2,0.7,0.2,20.0,15.5,5.3
30,Colorado,2018,Q1,13000,21000,4900,23,1400,31.7,0.8,3.8,0.5,13.7,2.4
31,Colorado,2018,Q2,16500,26000,2300,9,9500,42.8,(Z),13.1,3.7,4.3,0.4
32,Connecticut,2017,Q1,3100,3100,380,12,100,51.5,1.5,-,-,6.1,5.6
33,Connecticut,2017,Q2,3000,3000,140,5,2200,9.1,0.2,-,0.5,1.9,0.7
34,Connecticut,2017,Q3,3500,3500,130,4,50,25.1,1.5,0.1,-,13.0,-
35,Connecticut,2017,Q4,4000,4000,330,8,190,36.4,2.8,-,0.6,1.6,1.6
36,Connecticut,2018,Q1,2900,2900,140,5,220,14.5,0.7,-,0.8,7.7,3.5
37,Connecticut,2018,Q2,3600,3600,120,3,340,11.1,0.9,0.4,0.8,0.8,0.4
38,Florida,2017,Q1,260000,265000,30000,11,78000,37.6,14.8,1.5,14.2,6.2,17.9
39,Florida,2017,Q2,245000,255000,35000,14,40000,36.5,14.4,6.1,9.0,6.5,18.9
40,Florida,2017,Q3,176000,180000,39000,22,39000,42.9,13.2,3.7,6.3,11.4,21.5
41,Florida,2017,Q4,180000,240000,50000,21,55000,41.4,16.8,7.5,10.4,7.6,26.2
42,Florida,2018,Q1,245000,255000,35000,14,57000,31.7,15.3,4.5,9.2,5.5,16.0
43,Florida,2018,Q2,270000,280000,48000,17,54000,45.0,27.6,9.7,15.6,10.1,21.1
44,Georgia,2017,Q1,123000,125000,14000,11,25000,35.3,7.0,0.2,2.6,4.4,1.8
45,Georgia,2017,Q2,130000,137000,12500,9,21000,34.1,5.8,1.0,6.6,6.5,2.8
